Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United Arab Emirates,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4724.88,6840.11,6491.61,4172.42,3091.68,1977.93,2772.48,3018.59,2326.91,2541.16,2655.08,1809.56,1505.51,1445.97,1784.86,2048.83,2082.64,2179.16,2016.79,1908.00,2008.91,2118.67,2526.65,2591.99,2892.50,3379.39,3271.18,2885.05,2611.39,2516.40,2508.42,1964.72,1700.93,1445.83,933.11,784.09,707.94,696.25,852.28,979.49,944.44,866.33,916.07,932.16,864.58,579.95,0.00
Argentina,0.00,0.00,933.34,687.09,947.93,1032.32,1026.28,856.18,836.12,916.87,1043.01,953.88,687.41,612.11,506.94,356.78,442.46,408.75,314.70,232.57,127.60,171.10,220.81,237.30,209.19,261.40,278.64,226.08,258.46,177.08,320.19,448.84,562.80,549.10,552.38,546.74,564.59,703.14,798.76,789.88,782.45,753.81,237.02,261.13,296.27,325.61,277.50,294.77,293.10,239.66,240.27,232.08,222.29,262.85,276.14,336.83,290.51,329.36,250.80,204.02,137.23,169.09
Brazil,189.69,187.41,202.95,238.89,208.94,217.47,266.12,284.53,275.07,276.49,350.95,348.45,285.51,238.61,186.85,212.08,316.84,301.05,255.08,173.22,90.97,128.68,161.75,97.84,111.89,116.31,120.53,106.97,116.87,176.16,193.75,176.81,175.47,185.01,243.24,350.42,377.75,452.21,490.18,353.54,380.65,330.48,259.51,239.35,251.92,305.25,275.97,298.95,286.94,250.52,261.09,239.24,210.19,247.18,271.18,215.30,197.84,223.78,194.59,179.71,108.92,118.49
Canada,1816.36,1806.11,1831.80,1918.73,2064.43,2235.85,2456.92,2592.32,2537.26,2596.61,3250.60,3141.79,2483.28,1704.27,1253.24,1321.87,2000.68,1711.81,1337.73,926.57,516.66,760.33,941.34,896.56,1091.50,1260.93,1115.07,1034.86,1228.18,1538.79,1584.74,1703.56,1722.15,1585.36,1471.55,1521.24,1552.15,1875.04,2025.89,2267.12,2463.74,2491.19,2216.76,2206.13,2226.24,2318.35,1898.92,1816.90,1517.69,1191.04,1100.31,943.28,894.92,1057.70,1140.77,1064.93,961.13,1017.15,989.77,938.02,691.41,820.31
China,71.97,61.11,57.26,60.05,69.08,79.48,84.12,77.83,67.03,69.08,89.24,82.47,64.35,45.85,28.54,31.39,37.57,35.59,22.93,16.97,9.01,12.15,15.33,15.05,19.72,26.31,21.74,15.98,18.39,23.09,23.49,26.07,30.23,29.73,34.95,44.99,51.87,66.93,79.84,88.72,97.39,110.13,104.97,100.45,104.49,111.73,98.42,109.60,112.69,111.66,105.27,101.41,107.06,141.07,170.95,195.82,183.85,198.72,210.62,205.38,166.36,197.88
European Union,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1481.86,1468.92,1235.93,950.93,653.35,747.07,1003.81,956.19,885.92,670.88,374.57,433.37,509.76,438.01,495.86,577.90,695.53,705.90,789.52,920.59,1141.91,1249.97,1444.24,1255.39,1242.74,1436.46,1444.18,1548.65,1793.82,1877.77,1720.35,1798.59,1714.63,1790.47,1822.11,1742.44,1363.98,1366.60,1203.82,975.65,762.75,645.84,563.41,694.85,789.97,744.66,708.35,745.90,760.23,710.46,546.50,602.56
India,66.08,68.81,72.58,81.72,93.35,96.30,72.57,77.63,73.18,74.24,88.67,82.44,60.00,41.97,29.13,27.81,36.59,35.74,30.16,20.67,12.33,16.67,20.67,19.45,21.76,26.48,23.94,21.60,22.97,25.71,27.16,23.72,26.14,23.73,25.55,27.58,29.24,35.57,39.82,44.90,45.00,47.22,43.04,42.62,43.48,45.55,37.82,41.84,32.44,32.11,31.41,26.34,24.53,29.13,35.24,39.22,39.35,44.64,42.49,41.96,30.90,35.89
"Iran, Islamic Rep.",154.10,158.75,164.27,168.18,178.82,200.43,213.66,231.33,233.74,242.08,303.57,325.95,278.28,255.78,259.05,278.40,458.18,444.48,318.00,223.94,112.92,154.07,226.86,239.30,280.67,339.97,327.30,166.10,150.37,163.27,163.61,0.00,0.00,84.09,87.52,115.81,141.33,154.47,166.11,178.49,169.52,199.68,174.71,175.70,190.89,206.84,176.95,199.54,185.76,166.37,152.68,151.53,144.86,129.47,133.05,127.04,130.73,135.95,86.04,71.15,44.06,0.00
Japan,382.13,458.62,516.49,585.59,681.61,749.37,861.59,998.62,1063.46,1162.19,1621.48,1579.23,1447.66,1160.20,775.83,822.64,1180.44,1215.92,1293.30,839.84,437.70,638.47,722.16,695.95,863.49,1034.19,1319.57,1316.59,1625.23,1843.88,1874.61,2262.85,2591.07,2811.41,2947.73,3261.67,2862.66,3051.07,3124.29,3719.42,3976.07,3598.02,2999.58,2758.56,2652.55,2409.49,1687.37,1455.60,1295.64,1203.64,1040.30,880.71,835.04,821.86,861.37,853.99,894.35,875.26,844.72,819.16,638.02,619.12
Singapore,344.14,362.08,381.19,413.08,392.29,416.87,457.02,504.44,519.23,560.64,730.10,744.70,616.91,491.97,417.28,438.19,626.59,546.29,468.30,359.84,227.93,344.90,458.35,442.98,568.51,625.49,524.33,478.38,578.15,772.12,876.42,1134.94,1330.87,1441.09,1590.96,1838.62,1918.21,2258.11,2103.43,2214.38,2421.24,2269.28,2025.24,1849.86,1912.14,1909.17,1583.18,1604.25,1299.90,1134.24,1092.79,973.38,943.81,1144.76,1288.68,1359.29,1291.49,1378.24,1421.64,1332.89,970.66,1147.21
Turkiye,409.22,228.81,249.87,283.36,298.61,311.81,358.45,388.14,385.58,394.34,386.36,316.69,271.50,199.68,165.65,200.57,288.94,273.98,227.04,191.67,72.39,97.31,105.76,87.50,98.06,122.24,116.49,108.24,113.20,150.19,206.46,214.09,234.44,250.57,167.59,213.86,223.31,269.20,433.59,418.18,440.30,328.67,337.05,371.07,422.59,475.13,379.83,398.36,355.49,265.25,248.53,206.28,200.42,253.49,272.19,268.85,247.45,238.68,201.03,184.68,136.44,151.08
United States,2417.58,2472.09,2619.28,2726.80,2887.60,3089.04,3343.23,3494.20,3440.92,3471.49,4127.83,3898.87,2973.36,1963.38,1287.58,1372.95,1951.39,1814.21,1549.05,1076.99,581.60,861.31,1088.54,1038.06,1346.58,1629.17,1470.55,1271.53,1389.02,1697.87,1765.04,1905.00,2096.53,2079.08,2044.32,2117.31,2191.25,2693.29,3165.71,3506.60,3687.84,3883.24,3472.72,3078.43,2889.80,2811.61,2170.74,1954.82,1578.11,1375.14,1125.49,904.30,879.89,1070.88,1234.08,1386.56,1314.35,1350.39,1335.44,1317.98,1007.39,1091.95
World,369.09,380.13,400.63,423.41,454.22,484.32,514.28,535.89,515.39,524.25,641.85,611.84,485.33,347.34,239.77,258.96,356.88,335.24,296.41,212.86,118.26,160.19,190.63,169.13,202.91,237.40,238.07,219.09,245.86,289.03,318.77,346.38,384.31,367.38,365.95,401.44,400.82,461.00,510.43,551.16,561.66,567.57,508.66,480.44,475.09,467.56,368.22,355.71,308.34,259.06,222.58,190.46,180.93,217.34,245.73,249.93,233.64,244.00,241.68,230.97,174.79,193.26
gold,35.26,35.17,35.11,35.08,35.09,35.13,35.16,35.18,38.69,41.10,35.95,40.79,58.10,97.12,159.10,161.09,124.83,147.71,193.35,307.30,612.95,460.02,375.91,424.51,360.46,317.35,367.67,446.79,437.12,381.66,383.70,362.26,343.72,359.81,384.06,384.16,387.72,331.14,294.22,279.05,279.28,271.10,310.20,363.68,409.33,444.91,604.71,696.85,872.54,972.97,1225.46,1569.58,1668.50,1410.80,1266.34,1160.59,1248.16,1257.85,1333.29,1400.20,1773.73,1798.89
